lat,long,stay_duration,start_date,start_time,end_date,end_time,wifi_count,edge_wifi_count,honk_duration,edge_honk_duration,d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,0,RSI,Is_Bus_stop,Is_Signal,Is_Turn,Is_Congestion,Is_Adhoc
23.564326560090922,87.28308334745459,110,09/14/2019,15:41:01,09/14/2019,15:42:50,0,0,10,0,0,0,10,0,79.10723114013672,9.292034149169922,2.731367826461792,-5.578485012054443,-6.068101406097412,index,0.0,Not Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.559351201529413,87.2848071702353,85,09/14/2019,15:45:03,09/14/2019,15:46:36,7,3,8,12,9,1,8,12,74.20226287841797,-1.0599777698516846,-4.171583175659181,-6.1317243576049805,-6.292738914489746,lat,4.074062054137548,Bus_stop,Not Signal,Turn,Not Congestion,Not Adhoc
23.5552430575,87.2856352475,4,09/14/2019,15:47:54,09/14/2019,15:48:04,0,3,0,3,0,3,0,3,74.40460205078125,13.102766036987305,5.618788719177246,-1.4996345043182373,-2.2143723964691158,long,2.9199481252516626,Not Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.5542046,87.28622752,1,09/14/2019,15:48:30,09/14/2019,15:48:30,0,3,0,0,0,3,0,0,74.4036865234375,9.946489334106444,1.368435263633728,-1.3775618076324463,-2.592081308364868,,2.074398966641492,Not Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.553323583333334,87.28670061833333,6,09/14/2019,15:48:50,09/14/2019,15:48:56,0,1,0,1,0,1,0,1,86.2302017211914,18.864669799804688,3.2432372570037837,0.5123345851898193,-0.96430504322052,,2.170918385758186,Not Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.55123143400001,87.28606796599999,50,09/14/2019,15:49:48,09/14/2019,15:50:37,2,3,1,0,5,0,1,0,68.05657196044922,2.5755631923675537,2.544240474700928,1.1131981611251829,-0.5550252795219421,,0.0,Bus_stop,Not Signal,Not Turn,Not Congestion,Not Adhoc
23.5500844725,87.28515282166666,12,09/14/2019,15:51:00,09/14/2019,15:51:11,2,1,3,2,2,1,4,1,63.584815979003906,19.26633644104004,13.01807975769043,9.839296340942383,-1.7552112340927124,,1.4692462021154369,Bus_stop,Not Signal,Not Turn,Not Congestion,Not Adhoc
23.548229537142852,87.28373622142854,7,09/14/2019,15:51:44,09/14/2019,15:51:50,1,7,1,3,1,7,1,3,83.34679412841797,19.75044822692871,10.142403602600098,4.926758766174316,2.420116662979126,,1.1445572906697414,Bus_stop,Not Signal,Not Turn,Not Congestion,Not Adhoc
23.547064906666666,87.28277750166666,6,09/14/2019,15:52:13,09/14/2019,15:52:18,1,9,5,5,1,9,8,2,66.33872985839844,10.378016471862793,8.902287483215332,-0.04695624485611916,-0.8190212845802307,,1.3989892583649317,Not Bus_stop,Not Signal,Not Turn,Not Congestion,Adhoc
23.545316969,87.281371436,10,09/14/2019,15:52:51,09/14/2019,15:53:00,1,14,2,6,6,9,2,6,71.29230499267578,11.065454483032227,4.1040005683898935,1.237939953804016,-4.402915954589844,,1.4710503993418929,Bus_stop,Not Signal,Turn,Not Congestion,Not Adhoc
23.543897855,87.28424287499998,6,09/14/2019,15:53:46,09/14/2019,15:53:51,2,5,1,4,2,5,1,4,73.0481185913086,7.678505897521973,3.569591522216797,2.634219169616699,-0.7686176896095276,,1.07505320305564,Not Bus_stop,Not Signal,Not Turn,Not Congestion,Adhoc
23.54178712333333,87.28988743083332,12,09/14/2019,15:56:09,09/14/2019,15:56:20,2,48,3,31,2,48,4,30,55.66503524780274,8.834609031677246,5.203787803649902,0.2043810933828354,-3.3890786170959477,,1.424015185462426,Bus_stop,Signal,Not Turn,Not Congestion,Not Adhoc
23.53929413142857,87.29317995,14,09/14/2019,15:57:15,09/14/2019,15:57:28,20,38,2,24,43,15,4,22,70.73319244384766,20.312402725219727,11.730589866638185,-0.8257566094398499,-4.397289752960205,,1.7675521170173296,Bus_stop,Signal,Not Turn,Congestion,Not Adhoc
23.537617344166673,87.29684072277777,18,09/14/2019,15:58:23,09/14/2019,15:58:47,3,44,9,16,5,42,11,14,41.98500442504883,5.097169399261475,1.4980090856552124,-1.0112676620483398,-2.502630710601806,,1.4032764252033307,Bus_stop,Not Signal,Turn,Congestion,Not Adhoc
23.53603879333333,87.29593864499998,6,09/14/2019,15:59:09,09/14/2019,15:59:14,2,37,2,7,9,30,3,6,58.98737335205078,8.716869354248049,4.4799909591674805,-0.4543419778347016,-1.5783292055130005,,1.149587483568261,Not Bus_stop,Signal,Not Turn,Congestion,Not Adhoc
23.53558687953703,87.2973364525926,108,09/14/2019,15:59:36,09/14/2019,16:01:27,7,10,43,8,11,6,44,7,69.91610717773439,0.5737189650535583,-3.637333393096924,-4.552651882171631,-4.986727237701416,,1.8058621128650956,Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.535789885714287,87.29597883571431,21,09/14/2019,16:08:18,09/14/2019,16:08:40,2,0,7,60,2,0,9,58,80.95549011230469,6.375523567199707,5.773050308227539,3.6366686820983887,-1.735870361328125,,6.393660070285637,Not Bus_stop,Signal,Not Turn,Congestion,Not Adhoc
23.52730254333333,87.31116897944445,18,09/14/2019,16:11:49,09/14/2019,16:12:06,0,1,6,18,0,1,6,18,50.8570442199707,3.9714701175689697,2.994139671325684,1.5231565237045288,-1.557543158531189,,1.2557729366263364,Bus_stop,Not Signal,Turn,Not Congestion,Not Adhoc
23.524321441818184,87.3167365509091,22,09/14/2019,16:13:12,09/14/2019,16:13:40,0,0,7,14,0,0,9,12,62.31381607055664,8.774091720581055,0.19572395086288447,-0.05745182931423187,-0.7308191061019897,,4.553984185769969,Not Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.523993689,87.31810087224997,40,09/14/2019,16:13:59,09/14/2019,16:14:41,2,0,6,5,2,0,6,5,99.64479064941406,21.422372817993164,17.487760543823242,0.2901375293731689,-2.732243776321411,,1.8564895399249983,Not Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.52158658,87.31659635,1,09/14/2019,16:16:02,09/14/2019,16:16:02,0,0,0,17,0,0,1,16,68.63330078125,11.204364776611328,4.70543384552002,-1.3690643310546875,-2.017952442169189,,2.177456856085853,Not Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.521017934,87.31637347,10,09/14/2019,16:16:12,09/14/2019,16:16:23,0,1,1,1,0,1,1,1,65.52581787109375,5.452737808227539,2.206538438796997,-2.632398128509521,-5.200235843658447,,2.0117222670411232,Not Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.50364211625,87.30784817875,8,09/14/2019,16:20:46,09/14/2019,16:20:53,0,6,0,31,1,5,0,31,80.10443115234375,-0.4994776844978333,-2.440807819366455,-2.839712381362915,-5.278861999511719,,2.8920865364909782,Bus_stop,Not Signal,Not Turn,Not Congestion,Not Adhoc
23.50031351785714,87.30607178,14,09/14/2019,16:21:51,09/14/2019,16:22:04,0,15,2,3,0,15,2,3,75.4848861694336,0.7996599674224854,-2.661749601364136,-5.60150957107544,-5.611918926239014,,1.6485739485468085,Bus_stop,Not Signal,Turn,Not Congestion,Not Adhoc
